key	text	tooltip
unit_description_short_texts_text_treeman_knarlroot	These extremely large creatures are incredibly strong and tough. However, their dry woody skin suffers great damage if burned, so fire is their greatest enemy. Treemen provoke fear. 	false
unit_description_short_texts_text_black_avangers	Ramon Black formed the Avengers after a Skaven raiding party burned their homes and killed their families during an attack on their town of Wissenheim. They are sworn to hunt down and kill Skaven wherever they can find them.	false
unit_description_short_texts_text_carlsson_cavalry	These warriors form part of the militia commanded by the Border Prince and former mercenary Sven Carlsson, a personal friend of Bernhardt. They ride into battle on mighty warhorses and are proficient in combat. 	false
unit_description_short_texts_text_carlsson_guard	These warriors form part of the militia commanded by the Border Prince and former mercenary Sven Carlsson, a personal friend of Bernhardt. They are proficient in combat.	false
unit_description_short_texts_text_countess_guard	Charged with the protection of Emperor Karl Franz' cousin Countess Isabel. Led by Captain Heinz Klemper, these halberdiers, like all the Empire's heavy infantrymen, are highly trained and proficient melee fighters.	true
unit_description_short_texts_text_vannheim_75th	Siegfried Vannheim is a well renowned mercenary captain and has worked all through the Old World and beyond during his years leading the '75th. Reputably a staunch disciplinarian, Vannheim is followed by his cavalry troops with faithful loyalty and a respect for his veteran experience in the trade	false
unit_description_short_texts_text_treeman_gnarl_fist	These extremely large creatures are incredibly strong and tough. However, their dry woody skin suffers great damage if burned, so fire is their greatest enemy. Treemen provoke fear. 	false
unit_description_short_texts_text_ceridan	A lone Elven Ranger of the Black Mountains, Ceridan is a descendant of the ancient elves who created the Menhir and like the past generations of his family, his eternal quest is to protect the Standing Stones.	false
unit_description_short_texts_text_ragnar_wolves	These warriors originate from the cold and inhospitable lands of Norsca where they fight under the command of Eric Ragnar, their leader and a personal friend of Bernhardt. They ride into battle on mighty warhorses and are skilled in combat. 	false
unit_description_short_texts_text_darius_flugenheim	This machine fires heavy cannonballs which can tear through enemy regiments and light buildings with ease, but is progressively more inaccurate the further it fires. Its enormously long range is only equalled by Orc Rock Lobbers.	true
unit_description_short_texts_text_azguz_bloodfist	Determined and confident, Dwarfs are immensely strong and resilient although slow on their feet	true
unit_description_short_texts_text_eusebio_bleak	Flagellants' madness gives them superhuman strength and resilience and they fight with outstanding fury	true
unit_description_short_texts_text_heinz_klemper	Halberdiers, like all the Empire's infantry, are highly trained and proficient fighters	true
unit_description_short_texts_text_tristan_de_la_tour	Having sipped from the grail itself, these Knights are the most powerful of all the Knights of Bretonnia	true
unit_description_short_texts_text_franz_erikson	Helmgart bowmen are armed with standard bows which have a medium range	true
unit_description_short_texts_text_jurgen_muntz	These highly trained warriors were once swordsmen of the Empire, but abandoned it to fight outside the law for greater material gain	true
unit_description_short_texts_text_bertrand_le_grande	These Knights belong to the most numerous of the Bretonnian orders of chivalry	true
unit_description_short_texts_text_emp_galed	These tall, agile warriors are armed with powerful longbows. Their skill as archers is excellent and their bows have a very long range	true
unit_description_short_texts_text_emp_elrod	These tall, agile warriors live in the forests of Loren. They are quick on their feet, are not slowed by difficult terrain and are skilled in combat	true
unit_description_short_texts_text_willem_fletcher	These troops are armed with powerful crossbows, which have a long range but require line of sight to their target	true
unit_description_short_texts_text_gunther_schepke	These warriors are highly experienced and proficient fighters led by Sergeant Gunther Schepke, Bernhardt's second in command	true
unit_description_short_texts_text_sven_carlsson	These warriors form part of the militia commanded by the Border Prince and former mercenary Sven Carlsson	true
unit_description_short_texts_text_eric_ragnar	These warriors originate from the cold and inhospitable lands of Norsca where they fight under the command of Eric Ragnar	true
unit_description_short_texts_text_dieter_schaeffer	These warriors wield so large swords, that they must be swung with both hands and therefore strike with great force	true
unit_description_short_texts_text_stephan_weiss	These young mercenaries are fairly inexperienced, but make an exceptional rapid response force	true
unit_description_short_texts_text_uter_blomkwist	This machine fires explosive shells high into the air, sending them crashing into enemy ranks	true
unit_description_short_texts_text_wolfgang_schwartzkopf	This machine fires heavy cannonballs which can tear through enemy regiments and light buildings with ease, but is progressively more inaccurate the further it fires	true
unit_description_short_texts_text_vladimir_stormbringer	Ice Magic is a native form of Magic practised in the northern regions of Kislev. An Ice Mage is able to control magical energy to produce deadly spells of ice and cold	true
